OBJECTID,official_name,well_name,data_source,report_no,site_name,site_id,bh_data_class,operator,job_number,longitude,latitude,ref_elevation,total_depth,remarks,x,y
4582,000041_00002_37122F2,33113B4             ,CA Dept of Transportation       ,33113     ,Elmhurst CR BR Widening                           ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.200170588293,37.7468911800926,7.5,81,                                                                                ,-13603376.333,4543716.247100003
4588,000041_00008_37122G2,33143B1             ,CA Dept of Transportation       ,33143     ,East Creek Slough Bridge Widening                 ,Fwy 880   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.213722617472,37.7616937638659,8.4,90.5,ground water surface measured @ 9.5 ft in B3 (80 ft SW of B1) on 19590319       ,-13604884.9999,4545800.3314
4597,000041_00018_37122G3,33198B3             ,CA Dept of Transportation       ,33198     ,"Madison St. Undercrossing, I880                   ",mi 31.1   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.265413350712,37.79495723877,10.8,51.5,                                                                                ,-13610639.3864,4550485.056100003
4598,000041_00019_37122G3,33198B4             ,CA Dept of Transportation       ,33198     ,"Madison St. Undercrossing, I880                   ",mi 31.1   ,CPT   ,CA Dept of Transportatrion      ,              ,-122.267368037875,37.7958093736204,15.3,28.5,                                                                                ,-13610856.9881,4550605.0951000005
4602,000041_00023_37122G3,3327B14             ,CA Dept of Transportation       ,3327      ,5th Av Overhead/880                               ,O5 line   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.259335885811,37.7909787787054,6.5,71.5,                                                                                ,-13609962.8225,4549924.630999997
4603,000041_00024_37122G3,3327B7              ,CA Dept of Transportation       ,3327      ,5th Av Overhead/880                               ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.256059986638,37.7899717720009,3.8,76.5,                                                                                ,-13609598.1401,4549782.7861
4640,000041_00062_37122G2,3340B1              ,CA Dept of Transportation       ,3340      ,High St Overhead Widening/Fwy 880                 ,abut 16   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.217251459225,37.7661990315627,10.6,71,groundwater encountered at 3.1ft in B12 (416ft  NW of B1) on 19590527           ,-13605277.846,4546434.720299996
4641,000041_00063_37122G2,3340B2              ,CA Dept of Transportation       ,3340      ,High St Overhead Widening/Fwy 880                 ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.218847328007,37.7684764579413,13,71.5,ground water encountered @ 17.5ft  in B9 (40ft W of B2) on 19590601             ,-13605455.5054,4546755.420699999
4642,000041_00064_37122G2,3340B3              ,CA Dept of Transportation       ,3340      ,High St Overhead Widening/Fwy 880                 ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.220537461306,37.7699507065605,14.4,60.5,                                                                                ,-13605643.6573,4546963.0244999975
4651,000041_00073_37122G2,3341B14             ,CA Dept of Transportation       ,3341      ,Fruitvale Ave Overhead/Fwy 880                    ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.228640688214,37.7736517469317,20.4,51.5,                                                                                ,-13606545.7335,4547484.218500003
4652,000041_00074_37122G2,3341B5              ,CA Dept of Transportation       ,3341      ,Fruitvale Ave Overhead                            ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.225681748592,37.7726642584671,20.6,56,                                                                                ,-13606216.335900001,4547345.155100003
4653,000041_00076_37122G2,33435B1             ,CA Dept of Transportation       ,33435     ,66th Ave Overcrossing/Fwy 880                     ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.206822572722,37.7538390424636,7.1,55,grnd wat meas @3.7ft in 33142B1(app. 200ft SE of B1)on 19651216                 ,-13604116.8585,4544694.397699997
4655,000041_00078_37122G3,33483B2             ,CA Dept of Transportation       ,33483     ,Rt 980 S-bound conn OC                            ,SB line   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.2786665665,37.8018923672207,24.2,56.5,"gwl @19.3ft in B3 CPT ~150ft to S, measured 8-1-79                              ",-13612114.7765,4551462.040600002
4656,000041_00079_37122G3,33483B7             ,CA Dept of Transportation       ,33483     ,Rt 980 S-bound conn OC                            ,SB line   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.276234546993,37.7991134773098,18.6,55.5,"gws @ 14.5ft in B8 ~115ft to E, measured 8-4-79                                 ",-13611844.034,4551070.5506
4658,000041_00081_37122G3,33517B12            ,CA Dept of Transportation       ,33517     ,Adeline St. Viaduct/880                           ,          ,CPT   ,CA Dept of Transportatrion      ,              ,-122.288851394761,37.8028166258735,10.2,23,                                                                                ,-13613248.577100001,4551592.241899997
4659,000041_00082_37122G3,33517B3             ,CA Dept of Transportation       ,33517     ,Adeline St. Viaduct/880                           ,          ,SPT   ,CA Dept of Transportatrion      ,              ,-122.28332058064,37.8017634333854,14.5,46,"~125ft to W, CPT B4, gw @ -9.5ft, meas 3-5-80                                   ",-13612632.872200001,4551443.870200001
4660,000041_00083_37122G3,33517B9             ,CA Dept of Transportation       ,33517     ,Adeline St. Viaduct/880                           ,S5 line   ,SPT   ,CA Dept of Transportatrion      ,              ,-122.288295625993,37.8026852663328,9.3,55.5,                                                                                ,-13613186.7074,4551573.735799998
4665,000041_00088_37122F2,3388B12             ,CA Dept of Transportation       ,3388      ,Hegenberger Rd/880 Interchange Improvments Project,          ,SPT   ,Kleinfelder                     ,11234301      ,-122.200160257332,37.746643754671,6.5,101.5,gwl measured in the piezometers fluctuated between elevations +1 and+3 ft       ,-13603375.182599999,4543681.414899997
4688,000042_00012_37122G2,109M1B1             ,City of Oakland                 ,109M1     ,Super K-Mart; Interstate 880 & High St.           ,          ,SPT   ,"Krazan and Associates, Inc.     ",3294178       ,-122.22246879296,37.7689053379489,16,50.5,                                                                                ,-13605858.6562,4546815.8112
4689,000042_00013_37122G2,109M1B11            ,City of Oakland                 ,109M1     ,Super K-Mart; Interstate 880 & High St.           ,          ,SPT   ,"Krazan and Associates, Inc.     ",3294178       ,-122.221675539436,37.7693960069242,16,50,                                                                                ,-13605770.35,4546884.9089
4696,000042_00020_37122G2,120M2B1             ,City of Oakland                 ,120M2     ,Mini Storage Development                          ,          ,SPT   ,Norcal Engineering              ,545195        ,-122.22959577784,37.7772684295183,30,16,                                                                                ,-13606652.061999999,4547993.567000002
4701,000042_00025_37122G2,131M2B1             ,City of Oakland                 ,131M2     ,Courtyard at the Cove                             ,          ,SPT   ,"Bay Soils, Inc.                 ",504E          ,-122.241474935156,37.7834730852322,16,40,                                                                                ,-13607974.4875,4548867.432800002
4702,000042_00026_37122G2,131M2B5             ,City of Oakland                 ,131M2     ,Courtyard at the Cove                             ,          ,SPT   ,"Bay Soils, Inc.                 ",504E          ,-122.241637113249,37.7818099350704,13,30,                                                                                ,-13607992.5389,4548633.182800002
