OBJECTID,official_name,well_name,layer_number,top_depth,bottom_depth,lith_type,remarks
24763,000041_00002_37122F2,33113B4             ,1,0,7.5,SP    ,v. loose brn fine sand-fill                                                                                                                                                                                                                     
24764,000041_00002_37122F2,33113B4             ,2,7.5,10.5,ML-CL ,v. soft dk gray clayey silt                                                                                                                                                                                                                     
24765,000041_00002_37122F2,33113B4             ,3,10.5,13.5,GVL-SD,compact blue-gray coarse sand & pea gravel                                                                                                                                                                                                      
24766,000041_00002_37122F2,33113B4             ,4,13.5,39,CL    ,v. soft to stiff blue to grn gray clay                                                                                                                                                                                                          
24767,000041_00002_37122F2,33113B4             ,5,39,44,GP    ,dense brn coarse sandy pea gravel                                                                                                                                                                                                               
24768,000041_00002_37122F2,33113B4             ,6,44,51.5,SW    ,slightly compact brn fine-coarse sand w/ some gvl                                                                                                                                                                                               
24769,000041_00002_37122F2,33113B4             ,7,51.5,56.5,ML-CL ,v. stiff blue-gray clayey silt                                                                                                                                                                                                                  
24770,000041_00002_37122F2,33113B4             ,8,56.5,58.6,SP    ,compact gray clayey fine sand                                                                                                                                                                                                                   
24771,000041_00002_37122F2,33113B4             ,9,58.6,75,CL-ML ,v. stiff gray silty clay                                                                                                                                                                                                                        
24772,000041_00002_37122F2,33113B4             ,10,75,81,GVL-SD,dense brn sand & gravel                                                                                                                                                                                                                         
24859,000041_00008_37122G2,33143B1             ,1,0,6,SP    ,fill; slightly compact brn fine sand                                                                                                                                                                                                            
24860,000041_00008_37122G2,33143B1             ,2,6,14.5,CL    ,v. soft blk clay                                                                                                                                                                                                                                
24861,000041_00008_37122G2,33143B1             ,3,14.5,19,SM    ,slightly compact buff fine silty sand                                                                                                                                                                                                           
24862,000041_00008_37122G2,33143B1             ,4,19,28.5,ML    ,soft buff clay                                                                                                                                                                                                                                  
24863,000041_00008_37122G2,33143B1             ,5,28.5,45.5,ML    ,stiff buff silt                                                                                                                                                                                                                                 
24864,000041_00008_37122G2,33143B1             ,6,45.5,59,SM    ,stiff grey clayey silty to silty fine sand                                                                                                                                                                                                      
24865,000041_00008_37122G2,33143B1             ,7,59,66,GVL-SD,dense  brn sand & gvl                                                                                                                                                                                                                           
24866,000041_00008_37122G2,33143B1             ,8,66,86,ML    ,compact brn sandy silt                                                                                                                                                                                                                          
24867,000041_00008_37122G2,33143B1             ,9,86,90.5,SD    ,dense brn sand                                                                                                                                                                                                                                  
24964,000041_00018_37122G3,33198B3             ,1,0,6,GVL-SD,vy loose brn gvl & sand (fill)                                                                                                                                                                                                                  
24965,000041_00018_37122G3,33198B3             ,2,6,8,SP    ,vy loose brn fine to med sand                                                                                                                                                                                                                   
24966,000041_00018_37122G3,33198B3             ,3,8,14,SM    ,compact brn silty fine to med sand                                                                                                                                                                                                              
24967,000041_00018_37122G3,33198B3             ,4,14,22,SM    ,compact brn slightly silty fine to med sand                                                                                                                                                                                                     
24968,000041_00018_37122G3,33198B3             ,5,22,41,SM    ,vy dense brn silty fine to med sand                                                                                                                                                                                                             
24969,000041_00018_37122G3,33198B3             ,6,41,46,SC    ,compact grn clayey fine to med sand                                                                                                                                                                                                             
24970,000041_00018_37122G3,33198B3             ,7,46,51.5,CL    ,vy stiff grn fine sandy clay                                                                                                                                                                                                                    
24986,000041_00023_37122G3,3327B14             ,1,0,7,FILL  ,fill                                                                                                                                                                                                                                            
24987,000041_00023_37122G3,3327B14             ,2,7,37,SD    ,loose blue gray med coarse clean sd w thin layers of silt to vy soft blue gray to blk silty organic clay                                                                                                                                        
24988,000041_00023_37122G3,3327B14             ,3,37,42,ML-CL ,stiff lt blue gray sandy clayey silt                                                                                                                                                                                                            
24989,000041_00023_37122G3,3327B14             ,4,42,46,SC    ,slightly compact tan fine clayey sand                                                                                                                                                                                                           
24990,000041_00023_37122G3,3327B14             ,5,46,48,CL-ML ,vy stiff tan silty cl                                                                                                                                                                                                                           
24991,000041_00023_37122G3,3327B14             ,6,48,52,CL-ML ,stiff tan silty clay                                                                                                                                                                                                                            
24992,000041_00023_37122G3,3327B14             ,7,52,63.5,SM    ,slightly compact tan fine silty sand                                                                                                                                                                                                            
24993,000041_00023_37122G3,3327B14             ,8,63.5,69,SM    ,compact blue fine silty sand                                                                                                                                                                                                                    
24994,000041_00023_37122G3,3327B14             ,9,69,71.5,CL-ML ,stiff brn silty clay                                                                                                                                                                                                                            
24995,000041_00024_37122G3,3327B7              ,1,0,4,SD    ,                                                                                                                                                                                                                                                
24996,000041_00024_37122G3,3327B7              ,2,4,21,CL-ML ,                                                                                                                                                                                                                                                
24997,000041_00024_37122G3,3327B7              ,3,21,24,SM    ,                                                                                                                                                                                                                                                
24998,000041_00024_37122G3,3327B7              ,4,24,33,SM    ,                                                                                                                                                                                                                                                
24999,000041_00024_37122G3,3327B7              ,5,33,36,SM    ,                                                                                                                                                                                                                                                
25000,000041_00024_37122G3,3327B7              ,6,36,40,ML-CL ,                                                                                                                                                                                                                                                
25001,000041_00024_37122G3,3327B7              ,7,40,43,SM    ,                                                                                                                                                                                                                                                
25002,000041_00024_37122G3,3327B7              ,8,43,46.5,SM    ,                                                                                                                                                                                                                                                
